time	voltage	temperature
10:44:31	127.42	22.06
10:44:36	127.39	22.06
10:44:41	127.43	22.06
10:44:46	127.42	22.06
10:44:51	127.41	22.06
10:44:56	127.39	22.06
10:45:01	127.4	22.06
10:45:06	127.4	22.06
10:45:11	127.4	22.06
10:45:16	127.38	22.06
10:45:21	127.45	22.06
10:45:26	127.42	22.06
10:45:31	127.38	22.06
10:45:36	127.38	22.06
10:45:41	127.41	22.06
10:45:46	127.38	22.06
10:45:51	127.41	22.06
10:45:56	127.4	22.06
10:46:01	127.39	22.06
10:46:06	127.4	22.06
10:46:11	127.39	22.06
10:46:16	127.39	22.06
10:46:21	127.42	22.06
10:46:26	127.41	22.06
10:46:31	127.41	22.06
10:46:36	127.37	22.06
10:46:41	127.39	22.06
10:46:46	127.41	22.06
10:46:51	127.37	22.06
10:46:56	127.4	22.06
10:47:01	127.4	22.06
10:47:06	127.39	22.06
10:47:11	127.38	22.06
10:47:16	127.41	22.06
10:47:21	127.37	22.06
10:47:26	127.39	22.06
10:47:31	127.39	22.06
10:47:36	127.39	22.06
10:47:41	127.37	22.06
10:47:46	127.39	22.06
10:47:51	127.36	22.06
10:47:56	127.38	22.06
10:48:01	127.35	22.06
10:48:06	127.4	22.06
10:48:11	127.37	22.06
10:48:16	127.35	22.06
10:48:21	127.4	22.06
10:48:26	127.37	22.06
10:48:31	127.38	22.06
10:48:36	127.39	22.06
10:48:41	127.38	22.06
10:48:46	127.37	22.06
10:48:51	127.38	22.06
10:48:56	127.36	22.06
10:49:01	127.38	22.06
10:49:06	127.34	22.06
10:49:11	127.37	22.06
10:49:16	127.41	22.06
10:49:21	127.37	22.06
10:49:26	127.39	22.06
10:49:31	127.39	22.06
10:49:36	127.39	22.06
10:49:41	127.38	22.06
10:49:46	127.38	22.06
10:49:51	127.37	22.06
10:49:56	127.39	22.06
10:50:01	127.39	22.06
10:50:06	127.35	22.06
10:50:11	127.36	22.06
10:50:16	127.35	22.06
10:50:21	127.38	22.06
10:50:26	127.41	22.06
10:50:31	127.36	22.06
10:50:36	127.37	22.06
10:50:41	127.38	22.06
10:50:46	127.37	22.06
10:50:51	127.36	22.06
10:50:56	127.37	22.06
10:51:01	127.38	22.06
10:51:06	127.38	22.06
10:51:11	127.37	22.06
10:51:16	127.37	22.06
10:51:21	127.37	22.06
10:51:26	127.35	22.06
10:51:31	127.36	22.06
10:51:36	127.38	22.06
10:51:41	127.37	22.06
10:51:46	127.36	22.06
10:51:51	127.37	22.06
10:51:56	127.32	22.06
10:52:01	127.34	22.06
10:52:06	127.34	22.06
10:52:11	127.39	22.06
10:52:16	127.37	22.06
10:52:21	127.38	22.06
10:52:26	127.35	22.06
10:52:31	127.33	22.06
10:52:36	127.34	22.06
10:52:41	127.35	22.06
10:52:46	127.36	22.06
10:52:51	127.36	22.06
10:52:56	127.35	22.06
10:53:01	127.38	22.06
10:53:06	127.37	22.06
10:53:11	127.37	22.06
10:53:16	127.38	22.06
10:53:21	127.35	22.06
10:53:26	127.37	22.06
10:53:31	127.34	22.06
10:53:36	127.33	22.06
10:53:41	127.35	22.06
10:53:46	127.35	22.06
10:53:51	127.36	22.06
10:53:56	127.34	22.06
10:54:01	127.34	22.06
10:54:06	127.37	22.06
10:54:11	127.34	22.06
10:54:16	127.35	22.06
10:54:21	127.38	22.06
10:54:26	127.35	22.06
10:54:31	127.33	22.06
10:54:36	127.33	22.06
10:54:41	127.35	22.06
10:54:46	127.37	22.06
10:54:51	127.33	22.06
10:54:56	127.36	22.06
10:55:01	127.33	22.06
10:55:06	127.36	22.06
10:55:11	127.35	22.06
10:55:16	127.34	22.06
10:55:21	127.35	22.06
10:55:26	127.33	22.06
10:55:31	127.36	22.06
10:55:36	127.34	22.06
10:55:41	127.33	22.06
10:55:46	127.3	22.06
10:55:51	127.33	22.06
10:55:56	127.35	22.06
10:56:01	127.33	22.06
10:56:06	127.32	22.06
10:56:11	127.36	22.06
10:56:16	127.37	22.06
10:56:21	127.32	22.06
10:56:26	127.35	22.06
10:56:31	127.37	22.06
10:56:36	127.34	22.06
10:56:41	127.37	22.06
10:56:46	127.33	22.06
10:56:51	127.36	22.06
10:56:56	127.34	22.06
10:57:01	127.34	22.06
10:57:06	127.36	22.06
10:57:11	127.33	22.06
10:57:16	127.36	22.06
10:57:21	127.31	22.06
10:57:26	127.33	22.06
10:57:31	127.33	22.06
10:57:36	127.34	22.06
10:57:41	127.31	22.06
10:57:46	127.31	22.06
10:57:51	127.32	22.06
10:57:56	127.36	22.06
10:58:01	127.29	22.06
10:58:06	127.32	22.06
10:58:11	127.33	22.06
10:58:16	127.31	22.06
10:58:21	127.34	22.06
10:58:26	127.33	22.06
10:58:31	127.36	22.06
10:58:36	127.33	22.06
10:58:41	127.3	22.06
10:58:46	127.35	22.06
10:58:51	127.32	22.06
10:58:56	127.31	22.06
10:59:01	127.31	22.06
10:59:06	127.31	22.06
10:59:11	127.32	22.06
10:59:16	127.34	22.06
10:59:21	127.33	22.06
10:59:26	127.3	22.06
10:59:31	127.3	22.06
10:59:36	127.34	22.06
10:59:41	127.33	22.06
10:59:46	127.33	22.06
10:59:51	127.31	22.06
10:59:56	127.33	22.06
11:00:01	127.3	22.06
11:00:06	127.33	22.06
11:00:11	127.32	22.06
11:00:16	127.31	22.06
11:00:21	127.32	22.06
11:00:26	127.33	22.06
